"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,9 Sep 2025 09:22:55.472,9 Sep 2025 09:25:29.743,154.271
2,10 Sep 2025 09:29:49.413,10 Sep 2025 09:32:41.892,172.478
3,11 Sep 2025 09:36:48.607,11 Sep 2025 09:39:46.985,178.378
4,12 Sep 2025 09:43:52.300,12 Sep 2025 09:46:45.771,173.471
5,13 Sep 2025 09:51:00.863,13 Sep 2025 09:53:37.878,157.015
6,14 Sep 2025 09:58:16.393,14 Sep 2025 10:00:21.202,124.809
7,15 Sep 2025 10:05:50.188,15 Sep 2025 10:06:44.441,54.252

Statistics
"Min Duration",7,15 Sep 2025 10:05:50.188,15 Sep 2025 10:06:44.441,54.252
"Max Duration",3,11 Sep 2025 09:36:48.607,11 Sep 2025 09:39:46.985,178.378
"Mean Duration",,,,144.954
"Total Duration",,,,1014.675


